qtd_links,palavras_urgencia,pct_maiusculas,qtd_exclamacoes,remetente_suspeito,categoria
2,1,11,0,0,Normal
1,0,26,1,0,Normal
4,7,89,7,1,Spam
1,1,29,0,0,Normal
0,1,5,3,0,Normal
3,0,24,1,0,Normal
1,2,29,0,0,Normal
3,0,21,3,0,Normal
10,3,89,6,1,Spam
2,0,6,3,0,Normal
2,2,15,2,0,Normal
3,5,80,3,1,Spam
1,2,5,3,0,Normal
1,0,29,1,0,Normal
1,0,9,2,0,Normal
6,7,92,6,0,Spam
5,2,50,11,1,Spam
6,8,81,7,1,Spam
3,8,82,8,0,Spam
3,0,16,3,1,Normal
4,3,97,5,1,Spam
6,1,93,4,1,Spam
0,1,10,0,0,Normal
5,7,65,9,1,Spam
3,0,27,1,0,Normal
3,1,75,3,1,Spam
7,1,44,2,1,Spam
11,4,81,4,1,Spam
9,7,75,6,1,Spam
3,0,14,0,0,Normal
2,1,43,11,1,Spam
4,2,71,5,1,Spam
11,2,61,9,1,Spam
3,2,30,1,0,Normal
2,1,21,3,0,Normal
10,7,80,3,0,Spam
0,1,5,2,0,Normal
11,7,97,10,1,Spam
7,5,53,6,1,Spam
2,3,51,4,1,Spam
0,1,11,1,0,Normal
7,7,42,2,1,Spam
2,1,18,0,0,Normal
2,0,12,1,1,Normal
2,0,21,0,0,Normal
0,1,12,3,0,Normal
1,1,10,3,1,Normal
0,1,11,1,0,Normal
5,7,40,6,0,Spam
3,0,15,0,0,Normal
3,2,7,3,0,Normal
2,2,67,3,1,Spam
6,1,59,2,1,Spam
3,0,9,3,0,Normal
3,2,31,3,0,Normal
7,8,42,4,1,Spam
8,4,97,3,1,Spam
2,2,10,3,0,Normal
4,8,62,6,1,Spam
0,2,13,2,0,Normal
0,2,21,1,0,Normal
9,2,84,10,1,Spam
0,2,10,0,0,Normal
3,6,88,4,1,Spam
9,8,79,6,0,Spam
1,1,26,3,0,Normal
6,6,62,6,1,Spam
11,4,51,2,1,Spam
6,1,53,9,1,Spam
6,1,66,9,0,Spam
8,6,52,6,1,Spam
6,7,96,6,1,Spam
4,4,62,6,1,Spam
11,1,88,9,1,Spam
9,6,39,2,1,Spam
0,1,16,0,0,Normal
8,7,53,8,1,Spam
2,0,21,3,1,Normal
2,2,4,3,0,Normal
4,6,48,8,1,Spam
8,5,57,9,1,Spam
2,1,27,0,0,Normal
1,0,28,2,0,Normal
3,1,24,1,0,Normal
0,2,14,1,0,Normal
2,0,27,2,0,Normal
7,8,66,10,1,Spam
11,2,53,7,1,Spam
3,1,18,0,0,Normal
11,3,60,11,1,Spam
4,2,63,11,1,Spam
2,2,28,1,0,Normal
5,2,51,2,1,Spam
7,3,59,4,1,Spam
3,0,20,3,0,Normal
0,0,26,0,0,Normal
2,1,90,11,1,Spam
2,8,79,11,1,Spam
4,2,87,2,1,Spam
3,2,21,1,0,Normal
1,0,21,2,0,Normal
9,4,97,4,1,Spam
6,1,35,11,1,Spam
1,0,13,3,0,Normal
3,2,18,2,0,Normal
5,7,91,9,1,Spam
9,2,79,8,1,Spam
1,1,10,2,0,Normal
3,6,93,6,1,Spam
11,4,42,2,1,Spam
10,2,82,8,1,Spam
7,7,65,3,1,Spam
9,2,72,11,0,Spam
2,2,9,1,0,Normal
0,2,31,0,0,Normal
1,0,8,2,0,Normal
2,0,16,2,0,Normal
0,0,9,0,0,Normal
1,0,14,0,0,Normal
3,1,24,0,0,Normal
5,2,89,4,1,Spam
0,0,6,1,0,Normal
3,0,16,3,0,Normal
10,8,81,6,0,Spam
2,2,44,7,1,Spam
1,0,31,0,0,Normal
7,8,71,7,1,Spam
1,2,7,3,0,Normal
0,0,22,1,0,Normal
3,2,25,3,1,Normal
10,2,92,10,1,Spam
2,2,62,2,0,Spam
3,2,31,2,0,Normal
2,2,7,2,0,Normal
3,4,44,11,1,Spam
8,3,39,4,1,Spam
4,1,38,7,1,Spam
9,4,45,9,1,Spam
6,3,47,2,0,Spam
2,5,60,9,1,Spam
2,1,26,3,0,Normal
0,2,7,0,1,Normal
1,0,13,0,0,Normal
2,0,22,2,0,Normal
2,6,61,8,1,Spam
7,5,62,11,1,Spam
8,1,94,6,1,Spam
1,1,11,2,0,Normal
8,3,47,4,1,Spam
3,0,24,2,0,Normal
3,8,56,8,1,Spam
6,3,48,7,1,Spam
0,1,24,1,0,Normal
3,8,76,9,1,Spam
3,0,18,3,0,Normal
1,2,20,0,0,Normal
0,1,16,2,0,Normal
3,2,9,1,0,Normal
1,2,23,2,0,Normal
9,5,87,6,1,Spam
1,1,11,1,0,Normal
2,2,46,3,1,Spam
0,2,19,1,0,Normal
2,8,47,2,0,Spam
1,1,13,2,0,Normal
0,1,7,2,0,Normal
11,8,69,11,1,Spam
0,1,17,1,0,Normal
3,8,97,9,0,Spam
1,1,6,1,0,Normal
4,5,87,5,1,Spam
0,1,18,3,0,Normal
3,0,5,2,0,Normal
0,2,29,3,0,Normal
10,1,95,7,1,Spam
5,3,92,10,1,Spam
3,0,16,3,1,Normal
3,1,25,0,0,Normal
3,0,17,0,0,Normal
9,6,65,2,1,Spam
4,8,41,2,1,Spam
4,4,73,10,1,Spam
7,7,83,3,1,Spam
2,5,49,7,1,Spam
2,0,18,2,0,Normal
5,8,77,4,1,Spam
7,5,92,5,1,Spam
2,2,11,3,0,Normal
10,2,69,3,1,Spam
9,8,82,3,0,Spam
10,8,65,5,1,Spam
4,3,83,10,1,Spam
0,1,15,3,0,Normal
0,0,14,3,0,Normal
5,2,46,2,1,Spam
0,0,24,3,0,Normal
0,0,18,1,0,Normal
9,4,39,9,1,Spam
8,2,82,4,1,Spam
8,7,50,9,0,Spam
2,1,29,3,0,Normal
2,0,4,0,1,Normal
2,0,19,0,1,Normal
11,5,83,7,1,Spam
6,3,86,9,1,Spam
2,1,29,1,0,Normal
3,0,17,2,0,Normal
1,2,25,1,0,Normal
3,1,54,6,1,Spam
8,7,70,7,1,Spam
2,1,28,0,0,Normal
2,1,20,3,0,Normal
6,1,71,11,1,Spam
1,1,5,1,0,Normal
2,0,15,1,0,Normal
1,0,12,0,0,Normal
0,1,8,1,0,Normal
3,2,14,2,0,Normal
11,8,52,10,1,Spam
11,3,95,4,1,Spam
0,1,11,2,0,Normal
4,2,55,4,1,Spam
4,2,57,3,1,Spam
10,8,59,2,1,Spam
8,3,92,6,1,Spam
4,5,50,5,1,Spam
10,3,39,6,1,Spam
0,1,13,3,0,Normal
2,1,35,9,1,Spam
0,0,13,0,0,Normal
2,2,29,0,0,Normal
7,4,42,11,1,Spam
2,1,27,3,0,Normal
1,2,28,2,0,Normal
2,0,15,3,0,Normal
9,8,45,4,0,Spam
1,0,4,0,0,Normal
8,3,52,7,0,Spam
2,2,16,1,0,Normal
10,8,71,4,1,Spam
2,7,87,2,1,Spam
7,6,66,7,1,Spam
2,2,13,0,0,Normal
0,0,17,0,0,Normal
0,2,21,0,0,Normal
1,0,13,2,0,Normal
8,5,79,9,1,Spam
3,1,27,3,0,Normal
9,7,78,7,1,Spam
3,1,24,0,0,Normal
3,2,16,1,0,Normal
10,4,96,2,1,Spam
0,1,4,1,0,Normal
1,0,15,0,0,Normal
3,1,11,0,0,Normal
4,7,70,3,1,Spam
1,1,21,1,0,Normal
2,1,17,3,0,Normal
1,0,20,1,0,Normal
3,2,28,3,0,Normal
9,4,57,3,1,Spam
0,1,7,2,0,Normal
10,7,53,2,1,Spam
5,7,91,11,1,Spam
9,2,93,8,0,Spam
2,2,21,0,0,Normal
3,1,27,0,0,Normal
11,2,48,5,1,Spam
4,5,78,4,0,Spam
0,1,4,2,0,Normal
1,1,19,3,0,Normal
7,5,35,9,1,Spam
3,0,29,2,0,Normal
7,7,68,9,1,Spam
4,8,78,2,1,Spam
2,6,40,7,1,Spam
3,2,26,1,0,Normal
0,2,29,2,1,Normal
3,2,81,5,1,Spam
3,1,28,1,0,Normal
0,2,23,0,0,Normal
3,5,60,4,1,Spam
0,1,8,1,1,Normal
10,2,72,9,1,Spam
2,1,5,1,0,Normal
1,0,13,2,0,Normal
10,1,87,7,1,Spam
3,2,12,2,0,Normal
2,2,4,1,0,Normal
3,2,25,3,0,Normal
0,0,16,3,0,Normal
8,4,84,10,1,Spam
1,1,13,1,0,Normal
10,7,35,9,1,Spam
8,5,59,5,1,Spam
4,5,90,4,1,Spam
2,1,19,2,0,Normal
8,6,56,7,0,Spam
2,1,18,0,0,Normal
8,4,44,10,1,Spam
4,8,35,5,1,Spam
1,1,30,1,0,Normal
4,2,47,11,0,Spam
2,6,45,6,0,Spam
10,6,84,9,1,Spam
3,1,8,3,0,Normal
2,3,83,9,1,Spam
1,1,27,3,0,Normal
3,2,24,2,0,Normal
1,0,18,0,0,Normal
3,2,27,1,0,Normal
1,1,27,2,0,Normal
0,1,14,3,0,Normal
5,6,96,5,1,Spam
3,0,6,2,0,Normal
3,1,95,6,1,Spam
2,2,15,2,0,Normal
3,3,73,8,1,Spam
9,8,63,4,1,Spam
8,7,42,4,1,Spam
2,1,22,2,0,Normal
2,1,28,1,0,Normal
0,0,15,1,0,Normal
3,0,31,2,0,Normal
0,1,18,3,0,Normal
0,2,25,0,0,Normal
2,2,22,0,0,Normal
0,0,22,0,0,Normal
1,0,5,3,0,Normal
2,4,83,9,1,Spam
1,0,20,3,0,Normal
2,0,19,3,0,Normal
3,1,17,0,0,Normal
6,8,88,4,1,Spam
7,5,37,3,1,Spam
0,2,6,0,0,Normal
1,0,16,2,1,Normal
0,2,14,0,0,Normal
0,1,7,3,0,Normal
1,2,31,2,0,Normal
8,6,79,6,1,Spam
1,2,10,1,1,Normal
2,4,64,10,1,Spam
0,1,9,3,0,Normal
0,0,21,0,0,Normal
2,5,69,9,1,Spam
1,0,21,2,0,Normal
10,2,47,9,1,Spam
1,2,9,1,0,Normal
5,6,70,5,0,Spam
0,1,8,2,0,Normal
10,7,68,8,1,Spam
3,3,90,9,1,Spam
6,7,44,6,1,Spam
11,8,37,8,1,Spam
0,2,16,1,0,Normal
1,1,17,3,0,Normal
3,1,12,3,0,Normal
8,4,40,9,1,Spam
2,0,19,0,0,Normal
1,0,18,1,0,Normal
1,1,7,2,0,Normal
6,1,54,5,1,Spam
3,1,20,1,0,Normal
9,2,43,7,1,Spam
2,0,4,3,0,Normal
10,1,46,2,1,Spam
9,5,94,8,1,Spam
0,2,24,2,0,Normal
2,0,9,2,1,Normal
7,7,73,7,1,Spam
3,2,13,1,0,Normal
11,1,59,5,0,Spam
3,4,81,3,0,Spam
11,1,63,11,1,Spam
4,1,55,2,1,Spam
9,7,61,10,1,Spam
5,1,35,10,0,Spam
6,5,66,7,1,Spam
3,2,18,2,0,Normal
9,8,55,8,0,Spam
9,5,64,10,1,Spam
6,2,86,4,0,Spam
8,6,53,5,1,Spam
4,2,75,5,1,Spam
10,4,83,7,0,Spam
8,5,79,6,0,Spam
0,0,22,2,0,Normal
3,0,10,0,0,Normal
10,7,80,6,1,Spam
2,1,7,3,0,Normal
11,6,79,5,1,Spam
2,7,50,4,1,Spam
4,4,67,11,1,Spam
1,1,25,0,0,Normal
0,0,19,3,0,Normal
3,1,30,1,0,Normal
3,4,88,10,1,Spam
2,2,28,3,0,Normal
1,2,12,1,0,Normal
3,1,39,2,0,Spam
2,1,26,1,0,Normal
2,1,25,1,0,Normal
5,4,75,11,0,Spam
0,2,10,0,0,Normal
7,5,51,8,1,Spam
1,1,31,0,0,Normal
2,2,15,1,0,Normal
5,5,61,2,1,Spam
8,4,62,7,1,Spam
8,6,46,3,1,Spam
10,2,47,2,0,Spam
1,2,26,3,0,Normal
3,2,11,0,0,Normal
1,1,29,3,0,Normal
3,5,97,9,1,Spam
4,8,85,3,1,Spam
2,2,30,1,0,Normal
3,1,13,2,0,Normal
2,0,31,0,0,Normal
5,1,67,10,1,Spam
2,2,5,0,0,Normal
2,8,83,5,1,Spam
10,3,86,11,1,Spam
5,3,96,7,1,Spam
2,5,54,10,1,Spam
7,1,92,10,1,Spam
0,1,20,1,0,Normal
5,8,55,3,1,Spam
6,7,62,9,0,Spam
0,2,13,0,0,Normal
5,2,62,7,1,Spam
0,0,5,3,0,Normal
7,2,92,7,0,Spam
3,2,35,3,1,Spam
4,8,75,3,1,Spam
0,1,12,0,0,Normal
0,1,23,2,0,Normal
5,4,36,9,1,Spam
0,1,7,1,0,Normal
3,2,69,6,1,Spam
1,0,9,3,0,Normal
2,8,85,6,1,Spam
0,2,5,0,0,Normal
1,1,25,0,0,Normal
2,0,10,0,0,Normal
7,6,96,4,1,Spam
3,4,39,4,1,Spam
0,0,17,1,0,Normal
8,8,62,11,1,Spam
2,0,24,3,0,Normal
1,2,25,3,0,Normal
3,4,57,3,1,Spam
7,8,83,8,1,Spam
2,5,55,8,1,Spam
10,2,87,9,1,Spam
2,1,14,2,0,Normal
2,1,22,1,0,Normal
11,4,50,5,1,Spam
9,5,47,9,1,Spam
5,2,91,10,1,Spam
0,0,29,1,0,Normal
2,2,74,5,0,Spam
5,7,59,7,1,Spam
0,2,7,1,1,Normal
2,0,19,1,0,Normal
3,0,7,2,0,Normal
6,1,39,8,1,Spam
2,2,94,3,1,Spam
9,7,94,8,0,Spam
3,0,24,3,0,Normal
3,1,17,0,0,Normal
6,4,70,8,0,Spam
1,2,4,3,0,Normal
5,8,96,8,1,Spam
1,2,20,3,0,Normal
8,7,47,2,1,Spam
5,2,71,8,0,Spam
8,7,65,11,1,Spam
2,1,10,3,0,Normal
2,2,9,1,0,Normal
2,1,26,1,0,Normal
3,1,19,1,0,Normal
2,6,72,2,1,Spam
0,0,18,1,0,Normal
0,0,28,1,0,Normal
4,3,88,5,1,Spam
4,5,51,2,1,Spam
3,2,26,1,0,Normal
2,1,16,3,0,Normal
8,5,37,5,1,Spam
11,5,54,5,1,Spam
3,1,31,1,0,Normal
3,1,7,1,0,Normal
2,0,6,2,0,Normal
1,2,7,0,0,Normal
9,1,52,11,1,Spam
1,0,4,3,0,Normal
8,2,72,5,1,Spam
1,0,23,1,0,Normal
3,0,4,3,0,Normal
7,4,73,9,1,Spam
2,0,24,3,0,Normal
1,0,15,3,0,Normal
7,6,56,2,1,Spam
2,1,93,3,1,Spam
2,1,13,0,0,Normal
0,1,18,2,0,Normal
7,5,45,10,1,Spam
2,3,71,8,1,Spam
8,8,58,5,1,Spam
0,0,26,1,1,Normal
3,1,6,2,0,Normal
3,2,28,3,0,Normal
3,1,30,3,0,Normal
2,1,26,0,0,Normal
5,3,95,10,1,Spam
9,4,51,8,1,Spam
2,2,14,0,0,Normal
2,5,36,9,1,Spam
2,2,31,3,0,Normal
0,2,26,1,0,Normal
10,8,87,2,1,Spam
2,2,24,1,0,Normal
11,5,79,7,0,Spam
6,2,47,7,1,Spam
6,4,43,11,1,Spam
4,4,40,4,0,Spam
5,7,65,4,0,Spam
0,2,19,1,0,Normal
8,8,59,11,1,Spam
